,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
UMass Lowell River Hawks,Am. East,15-16,-2.3,217,--,-3.4,1,15.0-16.0,7.0-11.0,<0.1%,-
UMBC Retrievers,Am. East,18-14,-2.4,218,1,0.5,-2.9,18.0-14.0,11.0-7.0,<0.1%,-
Quinnipiac Bobcats,MAAC,14-17,-2.4,219,1,0.2,-2.6,14.0-17.0,7.0-13.0,<0.1%,-
Dartmouth Big Green,Ivy,9-16,-2.6,220,--,-2.2,-0.4,9.0-16.0,6.0-8.0,<0.1%,-
Kennesaw State Owls,ASUN,13-18,-2.7,221,--,0.3,-3,13.0-18.0,7.0-9.0,<0.1%,-
Valparaiso Beacons,MVC,14-18,-2.7,222,--,-0.3,-2.5,14.0-18.0,6.0-12.0,<0.1%,-
Rice Owls,C-USA,16-17,-2.7,223,--,2,-4.7,16.0-17.0,7.0-11.0,<0.1%,-
Illinois State Redbirds,MVC,13-20,-2.9,224,1,-0.4,-2.4,13.0-20.0,5.0-13.0,<0.1%,-
George Washington Colonials,A 10,12-18,-2.9,225,1,-2.4,-0.4,12.0-18.0,8.0-9.0,<0.1%,-
San Diego Toreros,WCC,15-16,-2.9,226,4,-3.6,0.8,15.0-16.0,7.0-9.0,<0.1%,-
